iter	RMSE
135	115175.428
136	115038.4623
137	114877.1583
138	114622.3415
139	114466.805
140	114315.9514
141	114149.5885
142	114009.0668
143	113892.3055
144	113725.5685
145	113534.1339
146	113388.9798
147	113143.9779
148	113010.48
149	112886.4605
150	112662.9867
151	112494.1603
152	112360.1187
153	112223.2679
154	112103.3594
155	112001.2043
156	111839.6644
157	111716.5813
158	111607.9548
159	111443.3271
160	111344.6436
161	111234.4449
162	111107.2894
163	110999.5324
164	110849.623
165	110742.405
166	110557.9362
167	110469.5575
168	110383.2132
169	110289.4896
170	110200.3296
171	110063.1705
172	109940.7926
173	109810.8319
174	109690.4303
175	109562.9566
176	109395.6879
177	109208.6882
178	109098.0703
179	108983.0262
180	108876.3379
181	108786.6138
182	108641.8477
183	108567.9088
184	108483.2056
185	108402.0216
186	108277.0174
187	108189.9566
188	107993.554
189	107876.3047
190	107788.1234
191	107699.2052
192	107597.1134
193	107495.7246
194	107398.7871
195	107272.8655
196	107176.0817
197	107069.0844
198	106987.3026
199	106892.0445
200	106797.1035
201	106705.7513
202	106601.3292
203	106496.3606
204	106381.7092
205	106291.3407
206	106198.546
207	106096.8228
208	105970.2483
209	105816.02
210	105645.6365
211	105519.201
212	105417.3165
213	105309.6107
214	105202.2182
215	105086.0495
216	104986.9524
217	104852.2887
218	104775.0044
219	104688.3802
220	104570.5619
221	104354.7465
222	104264.5581
223	104173.1316
224	104052.2509
225	103944.9233
226	103824.5023
227	103739.5252
228	103655.956
229	103590.3423
230	103487.5353
231	103355.0994
232	103265.8739
233	103181.1567
234	103079.1173
235	102983.1577
236	102909.2461
237	102804.0253
238	102728.4337
239	102620.3179
240	102499.4136
241	102414.9577
242	102347.2223
243	102186.8595
244	102109.1031
245	102021.8023
246	101939.98
247	101847.6652
248	101774.0479
249	101605.4144
250	101491.4348
251	101403.0992
252	101296.8796
253	101162.0083
254	101071.0827
255	100978.216
256	100902.8468
257	100818.2267
258	100691.8604
259	100633.94
260	100572.2539
261	100462.5841
262	100395.685
263	100329.6624
264	100228.7942
265	100151.8609
266	100087.6301
267	100024.6856
268	99926.08265
269	99834.40874
270	99697.78674
271	99626.92246
272	99516.27357
273	99438.18477
274	99346.48019
275	99265.84567
276	99211.54382
277	99120.24961
278	99024.47847
279	98936.26667
280	98859.40567
281	98735.12095
282	98668.09219
283	98567.47817
284	98510.11577
285	98446.18325
286	98383.01987
287	98313.20531
288	98229.7984
289	98159.45194
290	98101.53939
291	98038.80201
292	97989.04417
293	97938.4301
294	97883.9841
295	97786.58013
296	97687.88318
297	97573.22272
298	97512.08037
299	97443.63623
300	97388.84658
301	97301.21237
302	97239.83593
303	97186.07279
304	97099.3377
305	97023.95999
306	96968.05704
307	96865.48159
308	96796.09408
309	96726.16427
310	96660.69576
311	96583.48955
312	96520.44582
313	96443.98786
314	96404.17217
315	96344.48835
316	96290.72977
317	96223.32462
318	96160.39874
319	96104.42991
320	96016.03852
321	95974.16736
322	95924.06303
323	95861.49161
324	95773.15103
325	95724.08006
326	95662.71611
327	95607.41593
328	95517.6181
329	95473.39389
330	95411.49305
331	95343.72612
332	95297.58421
333	95232.13086
334	95173.9324
335	95112.90389
336	95051.65826
337	94998.07963
338	94938.73576
339	94876.34895
340	94818.16817
341	94768.09869
342	94721.40403
343	94652.78335
344	94591.5262
345	94534.29287
346	94483.02391
347	94410.22484
348	94358.95568
349	94311.16299
350	94220.60179
351	94158.05638
352	94116.40023
353	94047.86903
354	93998.28448
355	93944.18112
356	93903.76638
357	93849.21875
358	93779.5245
359	93724.27432
360	93653.85245
361	93607.97578
362	93574.68922
363	93525.44846
364	93474.49576
365	93397.81011
366	93348.0538
367	93288.95326
368	93232.97131
369	93192.08201
370	93127.44549
371	93086.38279
372	93018.43497
373	92989.94891
374	92954.75263
375	92910.52565
376	92859.77104
377	92779.66301
378	92741.00881
379	92712.85776
380	92671.7857
381	92636.92243
382	92588.33907
383	92518.34377
384	92469.38503
385	92422.51284
386	92380.47877
387	92343.88036
388	92295.57058
389	92246.47843
390	92174.00864
391	92127.09914
392	92061.20108
393	92021.22525
394	91949.67444
395	91905.79868
396	91850.85094
397	91797.20255
398	91747.07931
399	91696.99496
400	91656.29681
401	91585.1255
402	91532.31268
403	91481.97839
404	91446.80976
405	91381.28991
406	91295.3561
407	91256.2807
408	91217.92809
409	91169.72629
410	91120.15762
411	91083.88644
412	91038.22665
413	91003.1097
414	90954.14735
415	90901.67777
416	90829.78423
417	90791.13269
418	90752.91833
419	90702.48125
420	90669.9462
421	90640.54657
422	90605.99878
423	90567.85676
424	90527.92164
425	90475.09995
426	90435.95794
427	90409.34934
428	90355.87879
429	90309.13537
430	90262.0998
431	90226.82665
432	90186.04204
433	90157.37499
434	90070.01354
435	90030.35435
436	89981.36075
437	89927.67415
438	89864.34448
439	89815.64757
440	89771.50295
441	89727.06286
442	89677.34787
443	89647.2558
444	89598.88787
445	89550.15401
446	89509.96478
447	89460.12933
448	89403.10687
449	89360.63452
450	89319.89731
451	89279.4784
452	89221.04875
453	89164.18714
454	89119.25468
455	89082.88926
456	89047.65545
457	89003.52505
458	88973.5212
459	88934.73949
460	88902.30484
461	88852.43345
462	88825.26906
463	88789.3629
464	88715.41238
465	88688.97701
466	88630.44382
467	88602.27667
468	88537.27794
469	88510.97955
470	88473.54183
471	88433.18737
472	88390.81274
473	88353.18842
474	88324.83364
475	88280.3447
476	88254.98604
477	88231.68455
478	88198.8349
479	88168.16753
480	88118.56642
481	88095.15688
482	88048.73103
483	87992.90247
484	87965.55085
485	87909.89987
486	87885.63897
487	87832.65525
488	87791.97665
489	87746.14149
490	87708.93394
491	87687.95528
492	87648.58732
493	87596.39675
494	87558.49708
495	87529.17583
496	87489.27971
497	87448.46782
498	87406.54101
499	87373.46349
